source,target,relation,context,source_document,creation_timestamp
206,155,part of,"Dear Ms. Weissbrod:\nWe have reviewed your Section 510(k) premarket notification of intent to market the device\nreferenced above and have determined the device is substantially equivalent (for the\nindications for use stated in the enclosure) to legally marketed predicate devices marketed in\ninterstate commerce prior to May 28, 1976, the enactment date of the Medical Device\nAmendments, or to devices that have been reclassified in accordance with the provisions of\nthe Federal Food, Drug, and Cosmetic Act (Act) that do not require approval of a premarket\napproval application (PMA).",K082268.pdf.txt,2025-11-05T17:23:40.811131
155,206,has part,"Dear Ms. Weissbrod:\nWe have reviewed your Section 510(k) premarket notification of intent to market the device\nreferenced above and have determined the device is substantially equivalent (for the\nindications for use stated in the enclosure) to legally marketed predicate devices marketed in\ninterstate commerce prior to May 28, 1976, the enactment date of the Medical Device\nAmendments, or to devices that have been reclassified in accordance with the provisions of\nthe Federal Food, Drug, and Cosmetic Act (Act) that do not require approval of a premarket\napproval application (PMA).",K082268.pdf.txt,2025-11-05T17:23:40.811131
50,138,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
24,81,subclass of,"Public Health Service\nFood and Drug Administration9200 Corporate Boulevard\nRockville MD 20850\nFEB -9 2009\nMs. Rachel Weissbrod\nDirector of Regulatory Affairs\nOridion Capnography, Incorporated\nc/o Oridion Medical 1987 Limited\nHar Hotzvim Science Park, POB 45025\nJerusalem\nIsrael 91450\nRe: K082268\nTrade/Device Name: Capnostream20\nRegulation Number: 870.2700\nRegulation Name: Oximeter\nRegulatory Class: II\nProduct Code: DQA, CCK\nDated: January 9, 2009\nReceived: January 27, 2009\n",K082268.pdf.txt,2025-11-05T17:23:40.811131
53,48,instance of,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
53,101,use,"Rachel Weissbrod, Director of Regulatory Affairs\nOridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod~oridion.com\nDEVICE INFORMATION\nTrade Name: Capnostream 20 with Integrated Pulmonary Index\nCommon Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number: B051971PREDICATE DEVICE\nCapnostream 20 with the Integrated Pulmonary Index (IPI) software is substantially\nequivalent to the following commercially available device:\nManufacturer Device 510(k)No.",K082268.pdf.txt,2025-11-05T17:23:40.811131
148,12,part of,Prescription Use X AND/OR Over-The-Counter Use\n(Per 21 CFR 801 Subpart D),K082268.pdf.txt,2025-11-05T17:23:40.811131
12,148,has part,Prescription Use X AND/OR Over-The-Counter Use\n(Per 21 CFR 801 Subpart D),K082268.pdf.txt,2025-11-05T17:23:40.811131
185,89,part of,"Design Identical to the Capnostream 20 See K072295\ndescribed in K072295 with the exception\nof the software-changes in both the\nEtCO2 module and host monitor\ndescribed in this submission\nWhere Used It is to be used by physicians, nurses and It is to be used by physicians, nurses\nother trained health care providers in and other trained health care providers\ncritical care patient settings, such as in critical care patient settings, such as\nanesthesiology, intensive care medicine, anesthesiology, intensive care\nneonatal intensive care and other health medicine, neonatal Intensive care and\ncare areas other health care areas\nPerformance ISO 21647 ISO 21647\nStandards ISO 9919 ISO 9919\nSafety IEC/EN 60601-1 lEC/EN 60601-1\nStandards IEC/EN 60601-1-2(2001) IEC/EN 60601-1-2(2001)\nIEC 60601-1-8 IEC 60601-1-8\nUL 60601-1 UL 60601 -1\nISO 14971 ISO 14971\nBiocompatibility There are no issues of biocompatibility for There are no issues of biocompatibility\nthis device and no biocompatibility testing for this device and no biocompatibility\nwas done.",K082268.pdf.txt,2025-11-05T17:23:40.811131
107,108,manufacturer,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
90,104,located in the administrative territorial entity,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
90,103,country,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
104,103,country,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
174,49,instance of,"Common Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
129,1,inception,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
109,114,product or material produced,"Clearance Date\nOridion 1957 Capnostream20 K094012 February 9, 2010\nMedical Ltd\nMasimo Corporation Masimo Rainbow SET K080238 May 12, 2008\nRadical 7 Pulse 00-\nOximeter\nDEVICE DESCRIPTION\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
114,109,manufacturer,"Clearance Date\nOridion 1957 Capnostream20 K094012 February 9, 2010\nMedical Ltd\nMasimo Corporation Masimo Rainbow SET K080238 May 12, 2008\nRadical 7 Pulse 00-\nOximeter\nDEVICE DESCRIPTION\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
59,38,instance of,"Common Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
259,183,subclass of,The host device displays parameters received from the respective modules\nand generates alarms when preset alarm thresholds are crossed.,K101995.pdf.txt,2025-11-05T17:25:12.363134
9,18,part of,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
71,13,facet of,* 21 CFR 870.2700 Pulse Oximeter (Classification OQA).\n,K101995.pdf.txt,2025-11-05T17:25:12.363134
276,242,part of,The Capnostream2op bedside monitor is a two parameter monitor consisting of a\nmicroMediCO2 capnography module and/or a pulse oximetry module implemented in a\nhost device.,K101995.pdf.txt,2025-11-05T17:25:12.363134
242,276,has part,The Capnostream2op bedside monitor is a two parameter monitor consisting of a\nmicroMediCO2 capnography module and/or a pulse oximetry module implemented in a\nhost device.,K101995.pdf.txt,2025-11-05T17:25:12.363134
59,205,instance of,The Capnostream2op bedside monitor is a two parameter monitor consisting of a\nmicroMediCO2 capnography module and/or a pulse oximetry module implemented in a\nhost device.,K101995.pdf.txt,2025-11-05T17:25:12.363134
157,95,instance of,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
95,157,has part,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
187,194,has part,"SpO2 module, integrated in the Capnostream2O p monitor presented\nin this submission, provides the following parameters to the host for display: SpO2\n(functional oxygen saturation of arterial hemoglobin), pulse rate, SpCO\n(carboxyhemoglobin saturation in blood), SpMet (methemoglobin saturation in blood)\nand SpHb (total hemoglobin concentration in blood).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
194,187,part of,"SpO2 module, integrated in the Capnostream2O p monitor presented\nin this submission, provides the following parameters to the host for display: SpO2\n(functional oxygen saturation of arterial hemoglobin), pulse rate, SpCO\n(carboxyhemoglobin saturation in blood), SpMet (methemoglobin saturation in blood)\nand SpHb (total hemoglobin concentration in blood).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
260,291,subclass of,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
283,268,facet of,The three measurements will be available both real time and in trend summaries.\n,K101995.pdf.txt,2025-11-05T17:25:12.363134
141,274,facet of,"In addition, the MVX1 board provides a Perfusion Index (Pl) indicating the relative\npulsatile strength at the sampling site is provided to the host monitor for display.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
94,95,instance of,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
48,122,subclass of,"Common Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
194,218,subclass of,"SpO2 module, integrated in the Capnostream2O p monitor presented\nin this submission, provides the following parameters to the host for display: SpO2\n(functional oxygen saturation of arterial hemoglobin), pulse rate, SpCO\n(carboxyhemoglobin saturation in blood), SpMet (methemoglobin saturation in blood)\nand SpHb (total hemoglobin concentration in blood).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
244,254,subclass of,"It is intended for use with neonatal,\npediatric, and adult patients in hospitals, hospital-type facilities, intra-hospital transport\nand home environments.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
66,253,has parts of the class,"Common Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
289,94,different from,The host displays the Rainbow SET parameters values on the screen alongside the\nfour IP1 (Integrated Pulmonary Index) parameters and the IPI value as presented on\nthe predicate device.\n,K101995.pdf.txt,2025-11-05T17:25:12.363134
57,236,has part,"SpO2 module, integrated in the Capnostream2O p monitor presented\nin this submission, provides the following parameters to the host for display: SpO2\n(functional oxygen saturation of arterial hemoglobin), pulse rate, SpCO\n(carboxyhemoglobin saturation in blood), SpMet (methemoglobin saturation in blood)\nand SpHb (total hemoglobin concentration in blood).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
160,255,has part,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
163,287,use,Software testing was performed to validate the performance of the new monitor\nsoftware and its substantial equivalence to the predicate device.,K101995.pdf.txt,2025-11-05T17:25:12.363134
59,110,platform,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
158,42,used by,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
215,273,studies,A hazard analysis was carried out on the Capnostream host monitor displaying the\nRainbow SET values.,K101995.pdf.txt,2025-11-05T17:25:12.363134
273,215,studied by,A hazard analysis was carried out on the Capnostream host monitor displaying the\nRainbow SET values.,K101995.pdf.txt,2025-11-05T17:25:12.363134
113,107,has part,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
113,166,has part,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
107,113,part of,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
166,113,part of,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
48,252,subclass of,"Common Name: Two Parameter Bedside Monitor\nClassification Name: Capnograph/Pulse Oximeter\nRegulation Number:\n868.1400, Carbon Dioxide Analyzer (Classification COK)\n870.2700 Pulse Oximeter (Classification DQA)\nDevice Listing Number:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
261,252,subclass of,"INTENDED USE\nThe Capnostream®20p combined capnograph/pulse oximeter monitor and its\naccessories are intended to provide professionally trained health care providers with\ncontinuous, non-invasive measurement and monitoring of carbon dioxide concentration\nof the expired and inspired breath and respiration rate, and with continuous noninvasive\nmonitoring of functional oxygen saturation of arterial hemoglobin (SpO2) and pulse rate.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
112,166,product or material produced,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
248,166,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
165,219,instance of,"It is also indicated for continuous non-invasive monitoring of carboxyhemoglobin\nsaturation (measured by an SpCO/SpMetISpHb sensor), methemoglobin saturation\n(measured by an SpCOfSpMetISpHb sensor) and total hemoglobin concentration\n(measured by an SpCO/SpMetISpHb sensor).",K101995.pdf.txt,2025-11-05T17:25:12.363134
99,95,said to be the same as,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
95,99,said to be the same as,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
250,150,facet of,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
254,180,subclass of,"It is intended for use with neonatal,\npediatric, and adult patients in hospitals, hospital-type facilities, intra-hospital transport\nand home environments.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
275,95,part of,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
185,256,practiced by,"described in K094012\nWhere Used It is to be used by physicians, It is to be used by physicians,\nnurses and other trained health care nurses and other trained health\nproviders in critical care patient care providers in critical care\nsettings, such as anesthesiology, patient settings, such as\nintensive care medicine, neonatal anesthesiology, intensive care\nintensive care and other health care medicine, neonatal intensive\nareas.",K101995.pdf.txt,2025-11-05T17:25:12.363134
246,185,subclass of,"described in K094012\nWhere Used It is to be used by physicians, It is to be used by physicians,\nnurses and other trained health care nurses and other trained health\nproviders in critical care patient care providers in critical care\nsettings, such as anesthesiology, patient settings, such as\nintensive care medicine, neonatal anesthesiology, intensive care\nintensive care and other health care medicine, neonatal intensive\nareas.",K101995.pdf.txt,2025-11-05T17:25:12.363134
216,195,subclass of,"INTENDED USE\nThe Capnostream®20p combined capnograph/pulse oximeter monitor and its\naccessories are intended to provide professionally trained health care providers with\ncontinuous, non-invasive measurement and monitoring of carbon dioxide concentration\nof the expired and inspired breath and respiration rate, and with continuous noninvasive\nmonitoring of functional oxygen saturation of arterial hemoglobin (SpO2) and pulse rate.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
111,59,part of,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
234,218,part of,"SpO2 module, integrated in the Capnostream2O p monitor presented\nin this submission, provides the following parameters to the host for display: SpO2\n(functional oxygen saturation of arterial hemoglobin), pulse rate, SpCO\n(carboxyhemoglobin saturation in blood), SpMet (methemoglobin saturation in blood)\nand SpHb (total hemoglobin concentration in blood).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
218,234,has part,"SpO2 module, integrated in the Capnostream2O p monitor presented\nin this submission, provides the following parameters to the host for display: SpO2\n(functional oxygen saturation of arterial hemoglobin), pulse rate, SpCO\n(carboxyhemoglobin saturation in blood), SpMet (methemoglobin saturation in blood)\nand SpHb (total hemoglobin concentration in blood).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
136,75,subclass of,"Rachel Weissbrod, Director of Regulatory Affairs\nOiridion Medical 1987 Ltd.\nHar Hotzvim Science Park\nPOB 45025\n91450 Jerusalem, Israel\nTelephone: +972-2-589-9115\nFax: +972-2-586-6680\nEmail: rachel.weissbrod@oridion .com\nDEVICE INFORMATION\nTrade Name: Capnostream20p with Masimo MX1 SpO2 board.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
240,181,subclass of,"The general controls provisions of the Act include\nrequirements for annual registration, listing of devices, good manufacturing practice,\nlabeling, and prohibitions against misbranding and adulteration.",K101995.pdf.txt,2025-11-05T17:25:12.363134
290,200,facet of,Please note: CDR- does\nnot evaluate information related to contract liability warranties.,K101995.pdf.txt,2025-11-05T17:25:12.363134
284,241,opposite of,"We remind you, however,\nthat device labeling must be truthful and not misleading.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
72,173,has part,"Existing major regulations affecting your\ndevice can be found in the Code of Federal Regulations, Title 21, Parts 800 to 898.",K101995.pdf.txt,2025-11-05T17:25:12.363134
173,72,part of,"Existing major regulations affecting your\ndevice can be found in the Code of Federal Regulations, Title 21, Parts 800 to 898.",K101995.pdf.txt,2025-11-05T17:25:12.363134
33,86,has part,"Dear Ms. Weissbrod:\nWe have reviewed your Section 5 10(k) premarket notification of intent to market the device\nreferenced above and have determined the device is substantially equivalent (for the\nindications for use stated in the enclosure) to legally marketed predicate devices marketed in\ninterstate commerce prior to May 28, 1976, the enactment date of the Medical Device\nAmendments, or to devices that have been reclassified in accordance with the provisions of\nthe Federal Food, Drug, and Cosmetic Act (Act) that do not require approval of a premarket\napproval application (PMA).",K101995.pdf.txt,2025-11-05T17:25:12.363134
86,33,part of,"Dear Ms. Weissbrod:\nWe have reviewed your Section 5 10(k) premarket notification of intent to market the device\nreferenced above and have determined the device is substantially equivalent (for the\nindications for use stated in the enclosure) to legally marketed predicate devices marketed in\ninterstate commerce prior to May 28, 1976, the enactment date of the Medical Device\nAmendments, or to devices that have been reclassified in accordance with the provisions of\nthe Federal Food, Drug, and Cosmetic Act (Act) that do not require approval of a premarket\napproval application (PMA).",K101995.pdf.txt,2025-11-05T17:25:12.363134
44,9,has part,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
9,44,part of,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
9,8,part of,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
85,223,subsidiary,"In\naddition, FDA may publish further announcements concerning your device in the Federal\nRegister.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
223,85,parent organization,"In\naddition, FDA may publish further announcements concerning your device in the Federal\nRegister.\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
121,21,part of,"Also,\nplease note the regulation entitled, ""Misbranding by reference to premarket notification""\n(2I1CFR Part 807.97).",K101995.pdf.txt,2025-11-05T17:25:12.363134
45,140,has part,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
140,45,part of,"Traditional 510(k) Submission for CAPNOSTREAM®20p with Masimo MXI 5p02 Board 1i\n510(k) Summary of Safety and Effectiveness JAN 11 20""11\nInformation\nThis summary of safety and effectiveness information is being submitted in accordance\nwith the requirements of 21 CFR 807.92\n(This section is not confidential)\nDATE",K101995.pdf.txt,2025-11-05T17:25:12.363134
34,36,award received,"Sincerely yours,\nAnthony D. Watson, B.S., M.S., M.B.A.\nDirector\nDivision of Anesthesiology, General Hospital,\nInfection Control and Dental Devices\nOffice of Device Evaluation\nCenter for Devices and\nRadiological Health\nEnclosure\nTraditional 510(k) Submission for CAPNOSTREAM020p with Masimo MXI Sp02 Board\nStatement of Indications for Use\nCAPNOSTREAM@20p with Masimo MXI SpO2 Board\n(This document is not confidential)\nIndications for Use\nNovember 24, 2010\n510(k) Number (if known): K1 01 995\nDevice Name: Capnostream20p\nIndications for Use:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
34,105,award received,"Sincerely yours,\nAnthony D. Watson, B.S., M.S., M.B.A.\nDirector\nDivision of Anesthesiology, General Hospital,\nInfection Control and Dental Devices\nOffice of Device Evaluation\nCenter for Devices and\nRadiological Health\nEnclosure\nTraditional 510(k) Submission for CAPNOSTREAM020p with Masimo MXI Sp02 Board\nStatement of Indications for Use\nCAPNOSTREAM@20p with Masimo MXI SpO2 Board\n(This document is not confidential)\nIndications for Use\nNovember 24, 2010\n510(k) Number (if known): K1 01 995\nDevice Name: Capnostream20p\nIndications for Use:\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
60,101,use,The host displays the Rainbow SET parameters values on the screen alongside the\nfour IP1 (Integrated Pulmonary Index) parameters and the IPI value as presented on\nthe predicate device.\n,K101995.pdf.txt,2025-11-05T17:25:12.363134
94,99,instance of,"The microMediCO2 module provides the following inputs to the host monitor:\nFiCO2, EtCO2 numeric, EtCO2 waveform, Respiratory Rate, IPI (integrated\nPulmonary Index).\n",K101995.pdf.txt,2025-11-05T17:25:12.363134
